Referência;Descrição;Marca;Prestadora;O.P.;Peças;LT;Ini. O.P.;Ini. Fase;Movimentado;Tipo O.P.;Entrega;Prioridade;Observação
REST1028;BATA BABADOS;RITMI STUDIO;40473 - TIMBE - RITMI CONFECCOES;27982;67;112;08/12/2025;29/01/2026;29/01/2026;Normal;;;sem.04
REST1028;BATA BABADOS;RITMI STUDIO;40473 - TIMBE - RITMI CONFECCOES;27982;32;112;08/12/2025;29/01/2026;04/02/2026;Normal;;;sem.04
REST1232;VESTIDO COM MANGAS AMPLAS E AMARRAÇÃO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27045;2;166;15/10/2025;10/12/2025;15/01/2026;Normal;;;Sem. 44
REST1232;VESTIDO COM MANGAS AMPLAS E AMARRAÇÃO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27045;3;166;15/10/2025;10/12/2025;19/01/2026;Normal;;;Sem. 44
REST1232;VESTIDO COM MANGAS AMPLAS E AMARRAÇÃO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27045;1;166;15/10/2025;10/12/2025;21/01/2026;Normal;;;Sem. 44
REST1232;VESTIDO COM MANGAS AMPLAS E AMARRAÇÃO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27045;5;166;15/10/2025;10/12/2025;26/01/2026;Normal;;;Sem. 44
REST1232;VESTIDO COM MANGAS AMPLAS E AMARRAÇÃO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27045;1;166;15/10/2025;10/12/2025;27/01/2026;Normal;;;Sem. 44
REST1232;VESTIDO COM MANGAS AMPLAS E AMARRAÇÃO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27045;11;166;15/10/2025;10/12/2025;28/01/2026;Normal;;;Sem. 44
REST1244.3;COLETE C/ BOLSOS;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;26979;3;172;09/10/2025;09/12/2025;28/01/2026;Normal;;;Prep. costura + Bol...
REST1245.1;TOP TWEED ASSIMETRICO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28050;59;111;09/12/2025;09/01/2026;19/01/2026;Normal;;;sem.4
REST1245.1;TOP TWEED ASSIMETRICO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28050;1;111;09/12/2025;09/01/2026;21/01/2026;Normal;;;sem.4
REST1245.1;TOP TWEED ASSIMETRICO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28050;1;111;09/12/2025;09/01/2026;23/01/2026;Normal;;;sem.4
REST1245.1;TOP TWEED ASSIMETRICO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28050;6;111;09/12/2025;09/01/2026;04/02/2026;Normal;;;sem.4
REST1245.2;SAIA CURTA DE TWEED;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28049;59;111;09/12/2025;06/01/2026;06/01/2026;Normal;;;sem.04
REST1245.2;SAIA CURTA DE TWEED;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28049;6;111;09/12/2025;06/01/2026;13/01/2026;Normal;;;sem.04
REST1245.2;SAIA CURTA DE TWEED;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28049;1;111;09/12/2025;06/01/2026;15/01/2026;Normal;;;sem.04
REST1245.2;SAIA CURTA DE TWEED;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28049;1;111;09/12/2025;06/01/2026;27/01/2026;Normal;;;sem.04
REST1253.1;BLUSA UM OMBRO SÓ;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27038;7;167;14/10/2025;09/12/2025;28/01/2026;Normal;;;sem.45
REST1279;VESTIDO MIDI C/ ALÇAS FINAS;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27523;4;129;21/11/2025;09/12/2025;28/01/2026;Normal;;;sem.49
REST1280.1;CAMISA CAVA DESLOCADA TIGRADA;RITMI STUDIO;40522 - LIKA ACABAMENTOS LTDA;28125;77;104;16/12/2025;03/02/2026;03/02/2026;Normal;;;sem.05
REST1280.2;SHORT COM PREGA TIGRADO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28126;30;104;16/12/2025;29/01/2026;29/01/2026;Normal;;;sem.05
REST1280.2;SHORT COM PREGA TIGRADO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28126;39;104;16/12/2025;29/01/2026;30/01/2026;Normal;;;sem.05
REST1280.2;SHORT COM PREGA TIGRADO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28126;5;104;16/12/2025;29/01/2026;02/02/2026;Normal;;;sem.05
REST1280.2;SHORT COM PREGA TIGRADO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28126;3;104;16/12/2025;29/01/2026;03/02/2026;Normal;;;sem.05
REST1286;VESTIDO MIDI C/ ALÇAS;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28193;168;97;23/12/2025;03/02/2026;05/02/2026;Normal;;;
REST1289;TOP COM PREGA DE LAISE;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27617;4;126;24/11/2025;11/12/2025;28/01/2026;Normal;;;sem.49
REST1295;VESTIDO DE ALÇAS COM BARRADO DE LAISE;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27049;2;166;15/10/2025;09/12/2025;28/01/2026;Normal;;;Sem. 46
REST1299;REGATA MALHA CANELADA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27524;1;129;21/11/2025;12/12/2025;28/01/2026;Normal;;;sem.49
REST1307;VESTIDO AMPLO COM FRANZIDOS;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28175;95;98;22/12/2025;22/01/2026;23/01/2026;Normal;;;
REST1307;VESTIDO AMPLO COM FRANZIDOS;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28175;4;98;22/12/2025;22/01/2026;26/01/2026;Normal;;;
REST1307;VESTIDO AMPLO COM FRANZIDOS;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28175;1;98;22/12/2025;22/01/2026;27/01/2026;Normal;;;
REST1307;VESTIDO AMPLO COM FRANZIDOS;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28175;1;98;22/12/2025;22/01/2026;28/01/2026;Normal;;;
REST1307;VESTIDO AMPLO COM FRANZIDOS;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28175;1;98;22/12/2025;22/01/2026;30/01/2026;Normal;;;
REST1491;VESTIDO LONGO COM DETALHE NO OMBRO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28082;31;110;10/12/2025;14/01/2026;19/01/2026;Normal;;;sem.04
REST1491;VESTIDO LONGO COM DETALHE NO OMBRO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28082;65;110;10/12/2025;14/01/2026;23/01/2026;Normal;;;sem.04
REST1491;VESTIDO LONGO COM DETALHE NO OMBRO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28082;2;110;10/12/2025;14/01/2026;26/01/2026;Normal;;;sem.04
