Loja,Referência,Reduzido,EAN,Tipo Produto,Descrição,Categoria,Atributo,Estação,Marca,Genero,Colecao,Quantidade em Estoque,Quantidade Empenhada,Disponivel,URL Imagem,Preço de venda do Unitário,Preço de venda do Estoque,Custo Estoque,Data Estoque
RITMI STUDIO NACOES SHOPPING,RESB0002_161183,RESB0002PRETOU,7897230228242.0,,RESB0002 - BOLSA BUCKET 02 B6838,BOLSA,Corpreto - U,,RITMI STUDIO BAGS,Feminino Adulto,,2.0,0.0,2.0,https://s.ritmi.com.br/product/2025/08/design-sem-nome-2025-08-07t162919.328.jpg,179.9,359.8,246.15,05-02-2026
RITMI STUDIO NACOES SHOPPING,RESB0003_161184,RESB0003MARROMU,7897230228259.0,,RESB0003 - BOLSA CROSSBODY 03 B6839,BOLSA,Cor - U,,RITMI STUDIO BAGS,,,3.0,0.0,3.0,https://s.ritmi.com.br/product/2025/08/design-sem-nome-2025-08-07t163139.882.jpg,175.9,527.7,198.75,18-02-2026
RITMI STUDIO NACOES SHOPPING,RESB0003_161184,RESB0003U,7897230228259.0,,RESB0003 - BOLSA CROSSBODY 03 B6839,BOLSA,Cor - U,,RITMI STUDIO BAGS,Feminino Adulto,,-1.0,0.0,-1.0,https://s.ritmi.com.br/product/2025/08/design-sem-nome-2025-08-07t163139.882.jpg,175.9,-175.9,0.0,23-09-2025
RITMI STUDIO NACOES SHOPPING,RESB0004_161185,RESB0004PRETOU,7897230228266.0,,RESB0004 - BOLSA SHOPPING 04 B6841,BOLSA,CorPRETO - U,,RITMI STUDIO BAGS,Feminino Adulto,,4.0,0.0,4.0,https://s.ritmi.com.br/product/2025/08/design-sem-nome-2025-08-07t163805.396.jpg,239.9,959.6,265.0,18-11-2025
RITMI STUDIO NACOES SHOPPING,RESB0004_161185,RESB0004PRETO.U,7897230228266.0,,RESB0004 - BOLSA SHOPPING 04 B6841,BOLSA,CorPRETO. - U,,RITMI STUDIO BAGS,Feminino Adulto,,-4.0,0.0,-4.0,https://s.ritmi.com.br/product/2025/08/design-sem-nome-2025-08-07t163805.396.jpg,239.9,-959.6,0.0,05-12-2025
RITMI STUDIO NACOES SHOPPING,RESB0005_161186,RESB0005MARROM 2U,7897230228273.0,,CAMISETA @ PP CINZA STELLE,BOLSA,Cor63416 - CINZA STELLE - PP,,RITMI STUDIO BAGS,Feminino Adulto,,4.0,0.0,4.0,https://s.ritmi.com.br/product/2025/08/design-sem-nome-2025-08-07t163909.660.jpg,265.9,1063.6,265.0,20-12-2025
RITMI STUDIO NACOES SHOPPING,RESB0005_161186,RESB0005U,7897230228273.0,,RESB0005 - BOLSA SHOPPING 05 B6840,BOLSA,Cor - U,,RITMI STUDIO BAGS,Feminino Adulto,,-2.0,0.0,-2.0,https://s.ritmi.com.br/product/2025/08/design-sem-nome-2025-08-07t163909.660.jpg,265.9,-531.8,0.0,30-11-2025
RITMI STUDIO NACOES SHOPPING,REST0027_140154,REST002717-3020PP,7890400001379.0,,REST0027 - BLUSA COM PREGAS NA MANGA,BLUSA,Cor17-3020 - PP,,RITMI STUDIO,Feminino Adulto,,-1.0,0.0,-1.0,https://s.ritmi.com.br/product/2024/11/rest0027-001.jpg,59.0,-59.0,-119.9,03-12-2025
RITMI STUDIO NACOES SHOPPING,REST0027_140154,REST002719-3955G,7890400001447.0,,REST0027 - BLUSA COM PREGAS NA MANGA,BLUSA,Cor19-3955 - G,,RITMI STUDIO,Feminino Adulto,,-1.0,0.0,-1.0,https://s.ritmi.com.br/product/2024/11/rest0027-001.jpg,59.0,-59.0,-84.93,03-12-2025
RITMI STUDIO NACOES SHOPPING,REST0027_140154,REST002719-3955PP,7890400001416.0,,REST0027 - BLUSA COM PREGAS NA MANGA,BLUSA,Cor19-3955 - PP,,RITMI STUDIO,Feminino Adulto,,1.0,0.0,1.0,https://s.ritmi.com.br/product/2024/11/rest0027-001.jpg,59.0,59.0,84.93,03-12-2025
RITMI STUDIO NACOES SHOPPING,REST0030_140501,REST003012-0812M,7890400002444.0,,REST0030 - CALÇA DE LINHO ESTAMPADA,CALÇA,Cor12-0812 - M,,RITMI STUDIO,Feminino Adulto,,1.0,0.0,1.0,https://s.ritmi.com.br/product/2024/11/rest0030-001.jpg,79.0,79.0,219.9,11-03-2026
RITMI STUDIO NACOES SHOPPING,REST0041_140499,REST004114-1108P,7890400002512.0,,REST0041 - BLAZER COM BOTOES,BLAZER,Cor14-1108 - P,,RITMI STUDIO,Feminino Adulto,,1.0,0.0,1.0,https://s.ritmi.com.br/product/2024/11/rest0041-003.jpg,119.0,119.0,299.9,11-03-2026
RITMI STUDIO NACOES SHOPPING,REST0067_136206,REST006711-0602P,7890400000051.0,,REST0067 - CAMISETA LISTRADA,CAMISETA,Cor11-0602 - P,,RITMI STUDIO,Feminino Adulto,,0.0,1.0,-1.0,https://placehold.co/600x400?text=Sem_Imagem,56.9,0.0,0.0,11-09-2025
RITMI STUDIO NACOES SHOPPING,REST0075_136200,REST007517-1145P,7890400000020.0,,REST0075 - VESTIDO DE ALÇA C/ BABADOS,VESTIDO,Cor17-1145 - P,,RITMI STUDIO,Feminino Adulto,,0.0,1.0,-1.0,https://placehold.co/600x400?text=Sem_Imagem,169.9,0.0,0.0,11-09-2025
RITMI STUDIO NACOES SHOPPING,REST0075_136200,REST007517-1145PP,7890400000013.0,,REST0075 - VESTIDO DE ALÇA C/ BABADOS,VESTIDO,Cor17-1145 - PP,,RITMI STUDIO,Feminino Adulto,,0.0,1.0,-1.0,https://placehold.co/600x400?text=Sem_Imagem,169.9,0.0,0.0,11-09-2025
RITMI STUDIO NACOES SHOPPING,REST0098_141346,REST009819-0000M,7890400003670.0,,REST0098 - VESTIDO BALONE MANGAS BUFANTES,VESTIDO,Cor19-0000 - M,,RITMI STUDIO,Feminino Adulto,,1.0,0.0,1.0,https://s.ritmi.com.br/product/2024/11/rest0098-002.jpg,99.0,99.0,159.9,26-02-2026
RITMI STUDIO NACOES SHOPPING,REST0098_141346,REST009819-0000P,7890400003663.0,,REST0098 - VESTIDO BALONE MANGAS BUFANTES,VESTIDO,Cor19-0000 - P,,RITMI STUDIO,Feminino Adulto,,-1.0,0.0,-1.0,https://s.ritmi.com.br/product/2024/11/rest0098-002.jpg,99.0,-99.0,-159.9,26-02-2026
RITMI STUDIO NACOES SHOPPING,REST0124_145693,REST012416-6339G,7890400008750.0,,REST0124 - VESTIDO CURTO MANGA BUFANTE,VESTIDO,Cor16-6339 - G,,RITMI STUDIO,Feminino Adulto,,1.0,0.0,1.0,https://s.ritmi.com.br/product/2024/11/rest0124-003.jpg,99.0,99.0,159.9,26-02-2026
RITMI STUDIO NACOES SHOPPING,REST0124_145693,REST012416-6339M,7890400008743.0,,REST0124 - VESTIDO CURTO MANGA BUFANTE,VESTIDO,Cor16-6339 - M,,RITMI STUDIO,Feminino Adulto,,2.0,0.0,2.0,https://s.ritmi.com.br/product/2024/11/rest0124-003.jpg,99.0,198.0,319.8,11-03-2026
RITMI STUDIO NACOES SHOPPING,REST0124_145693,REST012418-1763M,7890400008781.0,,REST0124 - VESTIDO CURTO MANGA BUFANTE,VESTIDO,Cor18-1763 - M,,RITMI STUDIO,Feminino Adulto,,-2.0,0.0,-2.0,https://s.ritmi.com.br/product/2024/11/rest0124-003.jpg,99.0,-198.0,-319.8,19-02-2026
RITMI STUDIO NACOES SHOPPING,REST0138_141502,REST013814-4620M,7890400009856.0,,REST0138 - TOP DE ALCINHA COM LASTEX,TOP,Cor14-4620 - M,,RITMI STUDIO,Feminino Adulto,,1.0,0.0,1.0,https://s.ritmi.com.br/product/2024/11/rest0138-003.jpg,89.9,89.9,89.9,11-03-2026
RITMI STUDIO NACOES SHOPPING,REST0138_141502,REST013814-4620P,7890400009849.0,,REST0138 - TOP DE ALCINHA COM LASTEX,TOP,Cor14-4620 - P,,RITMI STUDIO,Feminino Adulto,,-1.0,0.0,-1.0,https://s.ritmi.com.br/product/2024/11/rest0138-003.jpg,89.9,-89.9,-89.9,26-02-2026
RITMI STUDIO NACOES SHOPPING,REST0142.1_142822,REST0142.116-1546P,7890400003748.0,,REST0142.1 - TOP ACETINADO (REST0142),TOP,Cor16-1546 - P,,RITMI STUDIO,Feminino Adulto,,-1.0,0.0,-1.0,https://s.ritmi.com.br/product/2024/11/rest0142-002.jpg,79.9,-79.9,-79.9,11-03-2026
RITMI STUDIO NACOES SHOPPING,REST0169.2_145742,REST0169.219-0000G,7890400005483.0,,REST0169.2 - SAIA MID C/ BABADOS (REST0165),SAIAACETINADA,Cor19-0000 - G,,RITMI STUDIO,Feminino Adulto,,2.0,0.0,2.0,https://s.ritmi.com.br/product/2024/11/rest0169.2-001.jpg,139.9,279.8,169.46,28-08-2025
RITMI STUDIO NACOES SHOPPING,REST0169.2_145742,REST0169.219-0000GG,7890400005490.0,,REST0169.2 - SAIA MID C/ BABADOS (REST0165),SAIAACETINADA,Cor19-0000 - GG,,RITMI STUDIO,Feminino Adulto,,1.0,0.0,1.0,https://s.ritmi.com.br/product/2024/11/rest0169.2-001.jpg,139.9,139.9,84.73,28-08-2025
RITMI STUDIO NACOES SHOPPING,REST0169.2_145742,REST0169.219-0000M,7890400005476.0,,REST0169.2 - SAIA MID C/ BABADOS (REST0165),SAIAACETINADA,Cor19-0000 - M,,RITMI STUDIO,Feminino Adulto,,4.0,0.0,4.0,https://s.ritmi.com.br/product/2024/11/rest0169.2-001.jpg,139.9,559.6,338.92,28-08-2025
RITMI STUDIO NACOES SHOPPING,REST0169.2_145742,REST0169.219-0000P,7890400005469.0,,REST0169.2 - SAIA MID C/ BABADOS (REST0165),SAIAACETINADA,Cor19-0000 - P,,RITMI STUDIO,Feminino Adulto,,3.0,0.0,3.0,https://s.ritmi.com.br/product/2024/11/rest0169.2-001.jpg,139.9,419.7,254.19,28-08-2025
RITMI STUDIO NACOES SHOPPING,REST0169.2_145742,REST0169.219-0000PP,7890400005452.0,,REST0169.2 - SAIA MID C/ BABADOS (REST0165),SAIAACETINADA,Cor19-0000 - PP,,RITMI STUDIO,Feminino Adulto,,1.0,0.0,1.0,https://s.ritmi.com.br/product/2024/11/rest0169.2-001.jpg,139.9,139.9,73.03,16-12-2025
RITMI STUDIO NACOES SHOPPING,REST0177_145699,REST017714-1159P,7890400006855.0,,REST0177 - VESTIDO TRANSPASSADO,VESTIDO,Cor14-1159 - P,,RITMI STUDIO,Feminino Adulto,,1.0,0.0,1.0,https://s.ritmi.com.br/product/2024/11/rest0177-002.jpg,99.0,99.0,139.9,23-12-2025
