Referência;Cor;TM;Qtdade;Valor;Total;Acrés.;Desc.;Líquido;Data
REST0086-SAIA MIDI C/ GUIPIR;19-0000-Raven TC;M;1;149,9;149,9;0;74,95;74,95;02/03/2026
REST0597-SAIA CÓS BORDADO;18-0135-Treetop TC;P;1;129,9;129,9;0;21,13;108,77;02/03/2026
REST0604.1-BLUSA COM TRANSPASSE FRENTE;17-4247-Diva Blue TC;M;1;119,9;119,9;0;37,47;82,43;02/03/2026
REST0643-MACACÃO COM PREGAS;17-0636-Green Moss TC;G;1;129,9;129,9;0;21,13;108,77;02/03/2026
REST0805-CAMISA C/ GOLA DESLOCADA;19-0000-Raven TC;P;1;139,9;139,9;0;22,75;117,15;02/03/2026
REST0831.1-CAMISA COM BOLSO;18-1614-Nocturne TC;G;1;149,9;149,9;0;46,85;103,05;02/03/2026
REST0882.1-REGATA MALHA COM AMARRAÇÃO;16-4010-Dusty Blue;G;1;89,9;89,9;0;28,1;61,8;02/03/2026
REST0882.1-REGATA MALHA COM AMARRAÇÃO;18-1631-Earth Red TC;G;1;89,9;89,9;0;28,1;61,8;02/03/2026
REST0890.1-BLAZER OVER;13-2805-Pink Mist TC;GG;1;279,9;279,9;0;130,69;149,21;02/03/2026
REST0890.1-BLAZER OVER;14-4210-Celestial Blue TC;GG;1;279,9;279,9;0;130,69;149,21;02/03/2026
REST0890.1-BLAZER OVER;17-0517-Dusky Green TC;G;1;279,9;279,9;0;130,69;149,21;02/03/2026
REST0926-CALÇA COM FIVELA;19-0000-Raven TC;G;1;199,9;199,9;0;78,11;121,79;02/03/2026
REST0928-CAMISA TRICOLINE COM BOTÃO JOIA;16-3929-Grapemist TC;M;1;159,9;159,9;0;74,66;85,24;02/03/2026
REST1013.1-BLAZER COM LAPELA RECONDUÇAO REST0817;18-0832-Plantation TC;GG;1;269,9;269,9;0;126,03;143,87;02/03/2026
REST1018-LEGGING MALHA DE PÉ;19-0000-Raven TC;P;1;109,9;109,9;0;9,75;100,15;02/03/2026
REST1028-BATA BABADOS;19-1223-Downtown Brown;G;1;159,9;159,9;0;0;159,9;02/03/2026
REST1031.2-BERMUDA RETA (REST0173);15-1119-Drab Gray TC;M;1;179,9;179,9;0;70,29;109,61;02/03/2026
REST1049.2-CALÇA DE MALHA;12-1404-Pink Tint TC;GG;1;135,9;135,9;0;53,1;82,8;02/03/2026
REST1152-COLETE COM BOLSOS;17-1336-Bran TC;G;1;219,9;219,9;0;81,34;138,56;02/03/2026
REST1161.2-CALÇA DE ALFAIATARIA;17-1336-Bran TC;G;1;179,9;179,9;0;66,54;113,36;02/03/2026
